Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Category Level 1,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Channel,Creative Id,Width,Height,Creative Type,First Seen,Last Seen,Duration,Text,Landing Page,Link To Creative,Link to Post,Format,Placement,Ad Buy Type,Publisher,Spend (USD),Impressions,focus_vs_other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,801309476,430,952,Video,2025-03-28,2025-05-12,10,Congrats mama! Get your FREE breast pump covered through your insurance.,,https://s3.amazonaws.com/YM_Ads/-523185346586046907.png,,Other,Reels,Direct,Facebook,8882.3,1320120,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,514129537,360,823,Video,2021-06-16,2024-06-10,0,Use Aeroflow Sleep quick qualification form to get your CPAP supplies through insurance delivered right to your door! CPAP Supplies Through Medicare! Learn more,https://aeroflowsleep.com/,https://s3.amazonaws.com/YM_Ads/4076286645492207779.png,,Other,Reels,Direct,Facebook,1124.38,153017,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,801309476,430,952,Video,2025-03-28,2025-05-12,10,Congrats mama! Get your FREE breast pump covered through your insurance.,,https://s3.amazonaws.com/YM_Ads/-523185346586046907.png,,Other,Stories,Direct,Facebook,872.58,130959,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,514129537,360,823,Video,2021-06-16,2024-06-10,0,Use Aeroflow Sleep quick qualification form to get your CPAP supplies through insurance delivered right to your door! CPAP Supplies Through Medicare! Learn more,https://aeroflowsleep.com/,https://s3.amazonaws.com/YM_Ads/4076286645492207779.png,,Other,Feed,Direct,Facebook,871.86,125086,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,238738088,375,586,Other,2020-10-04,2024-11-05,0,We help mamas q,,,,Other,Feed,Direct,Facebook,357.44,45233,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,514129537,360,823,Video,2021-06-16,2024-06-10,0,Use Aeroflow Sleep quick qualification form to get your CPAP supplies through insurance delivered right to your door! CPAP Supplies Through Medicare! Learn more,https://aeroflowsleep.com/,https://s3.amazonaws.com/YM_Ads/4076286645492207779.png,,Other,Other,Direct,Facebook,994.38,142666,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,483380896,586,375,Other,2024-01-01,2025-07-22,0,,,,,Other,Stories,Direct,Facebook,76315.77,11040782,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,599396649,360,579,Text,2024-05-03,2024-10-11,0,Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.,https://aeroflowbreastpumps.com/qualify-through-insurance?utm_source=facebook&utm_medium=cpc&utm_campaign=8049_Facebook_Ads&h=AT2wvJ8X63I-vUPtWUrNSsHl-YL_Bc09I5z-I807KSFyrn49ga5Z58Gx-2fd80LV2RF7quR500iNFt0qOPnyDSw5kQvfhqJK8IF6CB0B5kQsnBNVGtH06_94I49Gcmj-9xTVWj3_P4NhWvu4&s=1,https://s3.amazonaws.com/YM_Ads/1574304351322692028.png,https://www.facebook.com/8094532553903884,Other,Feed,Direct,Facebook,24648.9,3345854,focus
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,483380896,586,375,Other,2024-01-01,2025-07-22,0,,,,,Other,Feed,Direct,Facebook,181161.15,24636030,other
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,599396649,360,579,Text,2024-05-03,2024-10-11,0,Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.,https://aeroflowbreastpumps.com/qualify-through-insurance?utm_source=facebook&utm_medium=cpc&utm_campaign=8049_Facebook_Ads&h=AT2wvJ8X63I-vUPtWUrNSsHl-YL_Bc09I5z-I807KSFyrn49ga5Z58Gx-2fd80LV2RF7quR500iNFt0qOPnyDSw5kQvfhqJK8IF6CB0B5kQsnBNVGtH06_94I49Gcmj-9xTVWj3_P4NhWvu4&s=1,https://s3.amazonaws.com/YM_Ads/1574304351322692028.png,https://www.facebook.com/8094532553903884,Other,Stories,Direct,Facebook,838.5,111962,focus
