month-year,year,advertiser,brand root,category level 2,category level 3,category level 8,channel,placement,publisher,impressions,spend (usd)
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,whattoexpect.com,1320618,2772.48
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Ads on Reel,Facebook,154577,1233.31
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Feed,Facebook,445742119,3109373.04
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Marketplace,Facebook,10385732,75068.81999999999
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Other,Facebook,6734031,46927.96
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Reels,Facebook,130202311,915362.03
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Stories,Facebook,108340597,737513.15
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Feed,Instagram,389007277,3027705.1
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Reels,Instagram,95923670,758755.9199999999
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Stories,Instagram,269309848,2103629.82
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,TikTok,Feed,TikTok,36595402,382120.26
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,YouTube,In-Stream,YouTube,4551956,42070.55
Jul 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Ads on Reel,Facebook,37507,296.38
Jul 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,1559766,11326.02
Jul 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Other,Facebook,151617,1095.64
Jul 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,613967,4509.87
Jul 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Feed,Instagram,367437,2993.01
Jul 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Reels,Instagram,569920,4483.89
Jul 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Stories,Instagram,290067,2251.17
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Ads on Reel,Facebook,133701,1056.51
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,17157899,121815.05
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Marketplace,Facebook,39419,284.85
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Other,Facebook,378167,2519.76
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,3177770,22080.16
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Stories,Facebook,477979,3425.77
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Feed,Instagram,33698,255.86
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Reels,Instagram,17894,135.86
Jul 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Stories,Instagram,21120,192.05
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,17584183,131626.44
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Other,Facebook,562766,3922.48
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Reels,Facebook,1818047,13594.12
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Stories,Facebook,36644,274.43
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Feed,Instagram,322556,2285.46
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Reels,Instagram,357117,2530.35
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Stories,Instagram,25215,178.66
Jun 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,YouTube,In-Stream,YouTube,165752,2579.1
Jun 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Feed,Facebook,27054961,201981.97999999998
Jun 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Reels,Facebook,5342570,39452.2
Jun 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Stories,Facebook,149139,1116.93
Jun 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Feed,Instagram,64566,457.47
Jun 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Reels,Instagram,123118,872.35
Jun 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,TikTok,Feed,TikTok,4720573,46946.09
Jun 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,2646783,19781.269999999997
Jun 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,409868,3069.56
Jun 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Stories,Facebook,37043,277.42
Jun 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Feed,Instagram,955281,6609.3
Jun 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Reels,Instagram,24059,165.05
Jun 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Stories,Instagram,26939,184.81
Jun 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,3956045,28152.210000000003
Jun 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Other,Facebook,275260,1918.56
Jun 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Reels,Facebook,1969107,13938.970000000001
Jun 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Stories,Facebook,149844,1094.6599999999999
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,YouTube,83791,792.03
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,msn.com,74778,657.28
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,scribd.com,44622,138.87
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Ads on Reel,Facebook,841936,6779.56
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Feed,Facebook,94667193,639930.41
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Marketplace,Facebook,10556294,75910.6
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Other,Facebook,33851919,235722.51
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Reels,Facebook,8701184,58126.869999999995
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Stories,Facebook,2369696,17000.96
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Feed,Instagram,6247986,48467.43
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Reels,Instagram,2591897,19688.27
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Stories,Instagram,9670794,79415.12
Jun 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,TikTok,Feed,TikTok,4904237,53506.07
Jun 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,1805115,12463.220000000001
Jun 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,1079219,7697.17
Jun 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Stories,Facebook,161273,1188.39
Jun 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Reels,Instagram,48220,374.96
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,9554946,68452.87
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Marketplace,Facebook,374450,2537.88
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Other,Facebook,1565572,10946.65
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,1711435,12284.22
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Stories,Facebook,39352,262.21
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Feed,Instagram,7937526,55172.33
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Reels,Instagram,798347,5694.38
Jun 2025,2025,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Stories,Instagram,4222671,29171.739999999998
Mar 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Desktop Display,Other,nameberry.com,142560,1907.28
Mar 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Desktop Display,Other,theprint.in,60270,122.0
Mar 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,4847448,33787.18
Mar 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Other,Facebook,1803913,12573.27
Mar 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Reels,Instagram,26688,183.09
